date,value
1982-08-20,338764
1982-08-27,336138
1982-09-24,335586
1982-10-01,334786
1982-10-08,335260
1982-10-15,326979
1982-10-22,334370
1982-10-29,333067
1982-11-05,331057
1982-11-12,323448
1982-11-19,331264
1982-11-26,325639
1982-12-03,332447
1982-12-10,337943
1982-12-17,338912
1982-12-24,335061
1982-12-31,330150
1983-01-07,326701
1983-01-14,339028
1983-01-21,334178
1983-01-28,339617
1983-02-04,332527
1983-02-11,338719
1983-02-18,342040
1983-02-25,349452
1983-03-04,339216
1983-03-11,341753
1983-03-18,335901
1983-03-25,337155
1983-04-01,331215
1983-04-08,335263
1983-04-15,340539
1983-04-29,342707
1983-05-13,342703
1983-05-20,345545
1983-06-03,334607
1983-06-10,333407
1983-06-17,332713
1983-06-24,331611
1983-07-01,333387
1983-07-08,326776
1983-07-15,324265
1983-07-22,323643
1983-07-29,326267
1983-08-05,322642
1983-08-12,314861
1983-08-19,320879
1983-08-26,325015
1983-09-02,328895
1983-09-09,326370
1983-09-16,328092
1983-09-23,328203
1983-09-30,329028
1983-10-07,331723
1983-10-14,334292
1983-10-21,331681
1983-10-28,324210
1983-11-04,335837
1983-11-11,339341
1983-11-18,334859
1983-11-25,330704
1983-12-02,326264
1983-12-09,332192
1983-12-16,330911
1983-12-23,326469
1983-12-30,327028
1984-01-06,328070
1984-01-13,331804
1984-01-20,327811
1984-01-27,324301
1984-02-03,320842
1984-02-10,320037
1984-02-17,322097
1984-02-24,317999
1984-03-02,317746
1984-03-09,313132
1984-03-16,312445
1984-03-23,309072
1984-03-30,310506
1984-04-06,320689
1984-04-13,324087
1984-04-20,323505
1984-04-27,319724
1984-05-04,326633
1984-05-11,332296
1984-05-18,340510
1984-05-25,332465
1984-06-01,339659
1984-06-08,342189
1984-06-15,338234
1984-06-22,331714
1984-06-29,335999
1984-07-06,330378
1984-07-13,333149
1984-07-20,339830
1984-07-27,331607
1984-08-03,332398
1984-08-10,333554
1984-08-17,323344
1984-08-24,326092
1984-08-31,321597
1984-09-07,318672
1984-09-14,318007
1984-09-21,306957
1984-09-28,308426
1984-10-05,311211
1984-10-12,318610
1984-10-19,315273
1984-10-26,320900
1984-11-02,314922
1984-11-09,325115
1984-11-16,334201
1984-11-23,332639
1984-11-30,325608
1984-12-07,322292
1984-12-14,331783
1984-12-21,320537
1984-12-28,322281
1985-01-04,319923
1985-01-11,324107
1985-01-18,326508
1985-01-25,317918
1985-02-01,309460
1985-02-08,305989
1985-02-15,298076
1985-02-22,295928
1985-03-01,298757
1985-03-08,303198
1985-03-15,307344
1985-03-22,310423
1985-03-29,313149
1985-04-05,302000
1985-04-12,304744
1985-04-19,309715
1985-04-26,322205
1985-05-03,330347
1985-05-10,327605
1985-05-17,328263
1985-05-24,333896
1985-05-31,333399
1985-06-07,330564
1985-06-14,331306
1985-06-21,330077
1985-06-28,323682
1985-07-05,320782
1985-07-12,314931
1985-07-19,313728
1985-07-26,307219
1985-08-02,302128
1985-08-09,307275
1985-08-16,304954
1985-08-23,294068
1985-08-30,299740
1985-09-06,294402
1985-09-13,294828
1985-09-20,289541
1985-09-27,291175
1985-10-04,294662
1985-10-11,302337
1985-10-18,294952
1985-10-25,298122
1985-11-01,290776
1985-11-08,290134
1985-11-15,288284
1985-11-22,291676
1985-11-29,294140
1985-12-06,300376
1985-12-13,296771
1985-12-20,300234
1985-12-27,298551
1986-01-03,305147
1986-01-10,299779
1986-01-17,297979
1986-01-24,305632
1986-01-31,302996
1986-02-07,311382
1986-02-14,306754
1986-02-21,300623
1986-02-28,310183
1986-03-07,313853
1986-03-14,312567
1986-03-21,314941
1986-03-28,323395
1986-04-04,316315
1986-04-11,319613
1986-04-18,317219
1986-04-25,311499
1986-05-02,317285
1986-05-09,311336
1986-05-16,303348
1986-05-23,308590
1986-05-30,305568
1986-06-06,310824
1986-06-13,299249
1986-06-20,302543
1986-06-27,303908
1986-07-04,299341
1986-07-11,298871
1986-07-18,307065
1986-07-25,310051
1986-08-01,320012
